id;user_id;inicio;fim;qtd_dias;observacao;created_at;updated_at;deleted_at
25107e1e-2c6d-4a32-a606-8045d615d1c5;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-08-05;2024-08-19;15;Petrópolis com a família (Eu, Carol, Diana e Marli);2024-12-17 11:44:33;;
489321ee-6b59-41b8-b996-d59e5a321fa6;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-02-14;2024-02-28;15;;2024-12-17 11:44:33;;
4e4fef9f-5c63-4abf-b297-1a40cca2e9f2;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-05-21;2025-05-30;10;Foz do Iguaçú com a família (Eu, Carol, Diana e Marli);;;
6d6ba2f4-15fb-49a0-bdd5-6291c22e5417;4d25c7c3-0395-4b60-8ea2-937c8d573463;2023-07-24;2023-08-07;15;;2024-12-17 11:44:33;;
728902f2-e3c1-40e7-a38e-826a95194d85;4d25c7c3-0395-4b60-8ea2-937c8d573463;2022-02-14;2022-02-28;15;Le Canton (Teresópolis) com a família (Eu, Carol, Diana e Marli);2024-12-17 11:44:33;;
7ade4dea-a9d2-467e-ae10-c4b22b8bda99;4d25c7c3-0395-4b60-8ea2-937c8d573463;2023-02-22;2023-03-08;15;;2024-12-17 11:44:33;;
812cb09d-782a-48fb-a9d8-572b723d6168;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-09-23;2024-09-27;5;Campos do Jordão com os amigos e as crianças;2024-12-17 11:44:33;;
f71c93e1-fb10-44a6-834f-f33ad30c7b15;4d25c7c3-0395-4b60-8ea2-937c8d573463;2022-09-05;2022-09-19;15;;2024-12-17 11:44:33;;
